timestamps,TP9,AF7,AF8,TP10,Right AUX
1659298147.551,110.840,13.672,73.730,145.508,0.000
1659298147.555,103.516,17.090,81.543,139.648,0.000
1659298147.559,92.773,14.648,76.660,124.023,0.000
1659298147.563,99.609,15.625,73.242,127.441,0.000
1659298147.567,116.699,12.207,70.801,148.438,0.000
1659298147.571,117.676,19.043,71.289,145.020,0.000
1659298147.575,113.281,20.996,79.102,131.348,0.000
1659298147.579,120.605,16.113,83.008,138.184,0.000
1659298147.583,129.883,16.602,87.891,143.555,0.000
1659298147.587,132.812,22.461,94.238,151.855,0.000
1659298147.590,122.070,25.879,93.750,151.367,0.000
1659298147.594,110.352,23.438,83.984,129.395,0.000
1659298147.598,118.652,28.809,80.566,134.277,0.000
1659298147.602,128.418,37.598,83.496,153.320,0.000
1659298147.606,117.676,32.715,76.660,137.695,0.000
1659298147.610,115.234,26.367,66.895,119.141,0.000
1659298147.614,121.582,21.973,71.289,122.559,0.000
1659298147.618,133.301,26.855,79.102,133.789,0.000
1659298147.622,122.559,28.809,72.754,124.023,0.000
1659298147.626,104.492,29.785,67.871,119.629,0.000
1659298147.630,112.305,27.344,70.312,129.395,0.000
1659298147.633,119.629,20.020,67.871,139.648,0.000
1659298147.637,110.352,25.391,64.453,140.625,0.000
1659298147.641,101.562,26.367,60.547,135.254,0.000
1659298147.645,110.840,27.344,66.406,138.672,0.000
1659298147.649,122.559,30.273,74.219,149.414,0.000
1659298147.653,114.258,18.555,65.430,148.438,0.000
1659298147.657,105.469,10.254,48.340,129.883,0.000
1659298147.661,113.770,11.230,51.758,129.883,0.000
1659298147.665,119.629,17.578,63.965,149.414,0.000
1659298147.669,118.164,19.531,55.176,151.367,0.000
1659298147.673,110.352,27.832,54.199,145.020,0.000
1659298147.676,106.445,36.621,52.246,141.113,0.000
1659298147.680,102.539,27.832,44.434,138.672,0.000
1659298147.684,106.445,20.508,49.316,150.879,0.000
1659298147.688,104.492,22.461,49.316,132.812,0.000
1659298147.692,98.633,19.531,44.434,120.117,0.000
1659298147.696,101.562,12.207,41.016,129.395,0.000
1659298147.700,109.863,11.230,39.062,134.766,0.000
1659298147.704,112.793,18.555,42.969,135.254,0.000
1659298147.708,111.328,21.973,48.828,125.488,0.000
1659298147.712,109.375,17.578,47.363,127.930,0.000
1659298147.716,112.793,18.066,44.434,130.371,0.000
1659298147.719,114.746,17.578,47.363,137.695,0.000
1659298147.723,102.051,20.508,51.758,136.719,0.000
1659298147.727,97.656,27.344,60.547,124.512,0.000
1659298147.731,107.910,29.785,63.477,124.023,0.000
1659298147.735,107.910,27.344,52.734,131.836,0.000
1659298147.739,100.586,30.762,54.199,131.836,0.000
1659298147.743,104.980,26.367,56.152,120.605,0.000
1659298147.747,111.328,20.020,48.828,119.629,0.000
1659298147.751,117.188,28.809,43.945,131.348,0.000
1659298147.755,117.188,30.273,47.852,126.465,0.000
1659298147.758,117.188,19.043,52.246,120.117,0.000
1659298147.762,110.840,17.578,44.434,117.676,0.000
1659298147.766,107.910,20.996,42.480,135.254,0.000
1659298147.770,116.211,18.066,47.363,145.996,0.000
1659298147.774,108.887,13.184,47.852,129.395,0.000
1659298147.778,101.562,10.254,50.293,125.488,0.000
1659298147.782,106.445,14.160,55.664,132.324,0.000
